Apellidos, Nombre;Fecha Inicio abono;Fecha Fin abono;Retribuciones;Cargo Público;Cód. Centro Orgánico;Centro Orgánico;Código Organo;Órgano;Código Dpto;Departamento;Fecha Inicio Relación;Fecha Fin Relación;Fecha Actualización
AGOTE ALBERRO, IMANOL;01/01/2015;31/12/2015;74.269,58 €;DIRECTOR/A;006610000;DIRECCIÓN DE PATRIMONIO CULTURAL;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;10/01/2013;;22/06/2016
AGOTE ALBERRO, IMANOL;01/01/2016;31/12/2016;75.092,02 €;DIRECTOR/A;006610000;DIRECCIÓN DE PATRIMONIO CULTURAL;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;10/01/2013;;23/06/2017
AGUINACO LOPEZ DE SUSO, EDUARDO;01/01/2014;31/12/2014;67.087,04 €;DIRECTOR/A;003420000;DIRECCION DE AGRICULTURA Y GANADERIA;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;18/01/2013;06/07/2015;30/11/2015
AGUINACO LOPEZ DE SUSO, EDUARDO;01/01/2015;06/07/2015;34.446,62 €;DIRECTOR/A;003420000;DIRECCION DE AGRICULTURA Y GANADERIA;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;18/01/2013;06/07/2015;22/06/2016
AGUIRRE ALBERDI, LAURA;01/01/2014;31/12/2014;63.496,22 €;DIRECTOR/A ECONÓMICO-FINANCIERO GR.3;060132000;ORGANIZACIÓN SANITARIA INTEGRADA GOIERRI-ALTO UROLA;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;01/02/1998;;30/11/2015
AGUIRRE ALBERDI, LAURA;01/01/2015;31/12/2015;64.843,38 €;DIRECTOR/A ECONÓMICO-FINANCIERO GR.3;060132000;ORGANIZACIÓN SANITARIA INTEGRADA GOIERRI-ALTO UROLA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/02/1998;;22/06/2016
AGUIRRE ALBERDI, LAURA;01/01/2016;31/12/2016;64.801,52 €;DIRECTOR/A ECONÓMICO-FINANCIERO GR.3;060132000;ORGANIZACIÓN SANITARIA INTEGRADA GOIERRI-ALTO UROLA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/02/1998;26/02/2017;23/06/2017
AGUIRRE GOITIA, JOSU;01/01/2014;31/12/2014;71.320,19 €;DIRECTOR/A;006140000;DIRECCIÓN DE RÉGIMEN JURÍDICO Y SERVICIOS;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/04/2013;;30/11/2015
AGUIRRE GOITIA, JOSU;01/01/2015;31/12/2015;72.472,14 €;DIRECTOR/A;006140000;DIRECCIÓN DE RÉGIMEN JURÍDICO Y SERVICIOS;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/04/2013;;22/06/2016
AGUIRRE GOITIA, JOSU;01/01/2016;23/12/2016;73.267,98 €;DIRECTOR/A;006140000;DIRECCIÓN DE RÉGIMEN JURÍDICO Y SERVICIOS;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/04/2013;23/12/2016;23/06/2017
AGUIRRE RUEDA, MARIA;01/01/2014;31/12/2014;67.087,04 €;DIRECTOR/A;008140000;DIRECCIÓN DE INVESTIGACIÓN E INNOVACIÓN SANITARIA;008;Departamento de Salud;08;08 - SALUD;19/04/2013;;30/11/2015
AGUIRRE RUEDA, MARIA;01/01/2015;31/12/2015;67.087,02 €;DIRECTOR/A;008140000;DIRECCIÓN DE INVESTIGACIÓN E INNOVACIÓN SANITARIA;008;Departamento de Salud;08;08 - SALUD;19/04/2013;;22/06/2016
AGUIRRE RUEDA, MARIA;01/01/2016;31/12/2016;67.757,90 €;DIRECTOR/A;008140000;DIRECCIÓN DE INVESTIGACIÓN E INNOVACIÓN SANITARIA;008;Departamento de Salud;08;08 - SALUD;19/04/2013;21/04/2017;23/06/2017
AGUIRRE ZURUTUZA, ANA;01/01/2014;31/12/2014;84.429,64 €;VICECONSEJERO/A;002400000;VICECONSEJERÍA DE JUSTICIA;002;Departamento de Administración Pública y Justicia;02;02 - ADMINISTRACIÓN PÚBLICA Y JUSTICIA;27/12/2012;;30/11/2015
AGUIRRE ZURUTUZA, ANA;01/01/2015;31/12/2015;86.002,83 €;VICECONSEJERO/A;002400000;VICECONSEJERÍA DE JUSTICIA;002;Departamento de Administración Pública y Justicia;02;02 - ADMINISTRACIÓN PÚBLICA Y JUSTICIA;27/12/2012;;22/06/2016
AGUIRRE ZURUTUZA, ANA;01/01/2016;01/12/2016;80.030,25 €;VICECONSEJERO/A;002400000;VICECONSEJERÍA DE JUSTICIA;002;Departamento de Administración Pública y Justicia;02;02 - ADMINISTRACIÓN PÚBLICA Y JUSTICIA;27/12/2012;01/12/2016;22/06/2016
AGUIRRE ZURUTUZA, ANA;14/12/2016;31/12/2016;4.154,60 €;VICECONSEJERO/A;011200000;VICECONSEJERÍA DE ADMINISTRACIÓN Y SERVICIOS;011;Departamento de Seguridad;11;11- SEGURIDAD;14/12/2016;;23/06/2017
AIERDI URRAZA, XABIER;01/01/2014;31/12/2014;73.295,66 €;ASESOR/A DE GABINETE;004000000;CONSEJERÍA;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;07/10/2013;09/02/2015;30/11/2015
AIERDI URRAZA, XABIER;01/01/2015;09/02/2015;6.107,97 €;ASESOR/A DE GABINETE;004000000;CONSEJERÍA;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;07/10/2013;09/02/2015;22/06/2016
AIERDI URRAZA, XABIER;10/02/2015;31/12/2015;67.187,67 €;ASESOR/A DE GABINETE;004000000;CONSEJERÍA;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;10/02/2015;;22/06/2016
AIERDI URRAZA, XABIER;01/01/2016;27/11/2016;67.710,51 €;ASESOR/A DE GABINETE;004000000;CONSEJERÍA;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;10/02/2015;27/11/2016;23/06/2017
AIZ SALAZAR, ANTONIO;01/01/2014;31/12/2014;78.673,83 €;VICECONSEJERO/A;009300000;VICECONSEJERÍA DE TRANSPORTES;009;Departamento de Medio Ambiente y Política Territorial;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;25/04/2013;;30/11/2015
AIZ SALAZAR, ANTONIO;01/01/2015;31/12/2015;78.673,84 €;VICECONSEJERO/A;009300000;VICECONSEJERÍA DE TRANSPORTES;009;Departamento de Medio Ambiente y Política Territorial;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;25/04/2013;;22/06/2016
AIZ SALAZAR, ANTONIO;01/01/2016;31/12/2016;79.460,64 €;VICECONSEJERO/A;009300000;VICECONSEJERÍA DE TRANSPORTES;009;Departamento de Medio Ambiente y Política Territorial;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;25/04/2013;21/04/2017;23/06/2017
AIZPURUA TELLERIA, PATXI XABIER;01/01/2014;31/12/2014;72.166,82 €;DIRECTOR/A IVEI (RANGO DIRECTOR);006200000;VICECONSEJERÍA DE EDUCACIÓN;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/04/2013;;30/11/2015
AIZPURUA TELLERIA, PATXI XABIER;01/01/2015;31/12/2015;72.278,41 €;DIRECTOR/A IVEI (RANGO DIRECTOR);006200000;VICECONSEJERÍA DE EDUCACIÓN;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/04/2013;;22/06/2016
ALBERDI AMASORRAIN, IÑIGO;01/01/2014;31/07/2014;39.134,10 €;DIRECTOR/A GENERAL DE LA SOCIEDAD;165010000;Orquesta de Euskadi, S.A.;165;Orquesta de Euskadi, S.A.;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;03/03/2006;31/07/2014;30/11/2015
ALBERDI LARIZGOITIA, ALBERTO;14/12/2016;31/12/2016;42.718,00 €;VICECONSEJERO/A;006200000;VICECONSEJERÍA DE ECONOMÍA, FINANZAS Y PRESUPUESTOS;006;Departamento de Hacienda y Economía;06;06 - HACIENDA Y ECONOMÍA;14/12/2016;;23/06/2017
ALBERDI ZUBIA, ANA JESUSA;01/01/2014;31/12/2014;73.295,66 €;SECRETARIO/A GENERAL (NIVEL DIRECTOR);047110000;SECRETARÍA GENERAL;047;EMAKUNDE, Instituto Vasco de la Mujer;01;01 - LEHENDAKARITZA;15/02/2013;;30/11/2015
ALBERDI ZUBIA, ANA JESUSA;01/01/2015;31/12/2015;74.408,81 €;SECRETARIO/A GENERAL (NIVEL DIRECTOR);047110000;SECRETARÍA GENERAL;047;EMAKUNDE, Instituto Vasco de la Mujer;01;01 - LEHENDAKARITZA;15/02/2013;;22/06/2016
ALBERDI ZUBIA, ANA JESUSA;01/01/2016;31/12/2016;75.399,79 €;SECRETARIO/A GENERAL (NIVEL DIRECTOR);047110000;SECRETARÍA GENERAL;047;EMAKUNDE, Instituto Vasco de la Mujer;01;01 - LEHENDAKARITZA;15/02/2013;01/05/2017;23/06/2017
ALBIZURI SANZ, ARANTZA;06/05/2014;31/12/2014;66.365,01 €;DIRECTOR/A ECONÓMICO-FINANCIERO GR.3;060124000;ORGANIZACIÓN SANITARIA INTEGRADA BARAKALDO-SESTAO;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;06/05/2014;;30/11/2015
ALBIZURI SANZ, ARANTZA;01/01/2015;31/12/2015;67.812,38 €;DIRECTOR/A ECONÓMICO-FINANCIERO GR.3;060124000;ORGANIZACIÓN SANITARIA INTEGRADA BARAKALDO-SESTAO;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;06/05/2014;;22/06/2016
ALBIZURI SANZ, ARANTZA;01/01/2016;31/12/2016;67.519,24 €;DIRECTOR/A ECONÓMICO-FINANCIERO GR.3;060124000;ORGANIZACIÓN SANITARIA INTEGRADA BARAKALDO-SESTAO;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;06/05/2014;;23/06/2017
ALCALDE AMUTXATEGI, JOSEBA ANDONI;01/01/2014;31/12/2014;84.882,45 €;ASESOR/A NORMATIVA HACENDÍSTICA Y FINANCIERA;005000000;CONSEJERÍA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;19/04/2013;;30/11/2015
ALCALDE AMUTXATEGI, JOSEBA ANDONI;01/01/2015;31/12/2015;86.132,70 €;ASESOR/A NORMATIVA HACENDÍSTICA Y FINANCIERA;005000000;CONSEJERÍA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;19/04/2013;;22/06/2016
ALCALDE AMUTXATEGI, JOSEBA ANDONI;01/01/2016;31/12/2016;80.244,15 €;ASESOR/A NORMATIVA HACENDÍSTICA Y FINANCIERA;005000000;CONSEJERÍA;006;Departamento de Hacienda y Economía;06;06 - HACIENDA Y ECONOMÍA;19/04/2013;27/11/2016;23/06/2017
ALCALDE AMUTXATEGI, JOSEBA ANDONI;28/11/2016;31/12/2016;7.300,44 €;ASESOR/A NORMATIVA HACENDÍSTICA Y FINANCIERA;005000000;CONSEJERÍA;006;Departamento de Hacienda y Economía;06;06 - HACIENDA Y ECONOMÍA;28/11/2016;;23/06/2017
ALDAY RUIZ, IGNACIO;01/01/2014;31/12/2014;67.087,04 €;DIRECTOR/A;054110000;DIRECCIÓN DE INVESTIGACIÓN;054;Autoridad Vasca de la Competencia;05;05 - HACIENDA Y FINANZAS;01/08/2012;;30/11/2015
ALDAY RUIZ, IGNACIO;01/01/2015;31/12/2015;67.087,02 €;DIRECTOR/A;054110000;DIRECCIÓN DE INVESTIGACIÓN;054;Autoridad Vasca de la Competencia;05;05 - HACIENDA Y FINANZAS;01/08/2012;;22/06/2016
ALDEKOA DE LA TORRE, JON ANDONI;07/04/2015;22/10/2015;36.413,17 €;ASESOR/A DE LA SECRETARÍA GENERAL DE PRESIDENCIA;001100000;SECRETARÍA GENERAL DE LA PRESIDENCIA;001;Lehendakaritza;01;01 - LEHENDAKARITZA;07/04/2015;22/10/2015;22/06/2016
ALDEKOA DE LA TORRE, JON ANDONI;23/10/2015;31/12/2015;12.798,09 €;DIRECTOR/A;001010000;DIRECCIÓN DE COMUNICACION;001;Lehendakaritza;01;01 - LEHENDAKARITZA;23/10/2015;;22/06/2016
ALDEKOA DE LA TORRE, JON ANDONI;01/01/2016;31/12/2016;67.757,90 €;DIRECTOR/A;001010000;DIRECCIÓN DE COMUNICACION;001;Lehendakaritza;01;01 - LEHENDAKARITZA;23/10/2015;12/02/2017;23/06/2017
ALDEKOGARAI LABAKA, IÑAKI;01/01/2014;31/12/2014;71.602,40 €;DIRECTOR/A;003020000;DIRECCIÓN DE SERVICIOS;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;25/04/2013;06/09/2015;30/11/2015
ALDEKOGARAI LABAKA, IÑAKI;01/01/2015;06/09/2015;47.107,22 €;DIRECTOR/A;003020000;DIRECCIÓN DE SERVICIOS;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;25/04/2013;06/09/2015;22/06/2016
ALFARO MARTINEZ, EMILIO;28/11/2016;31/12/2016;6.218,16 €;ASESOR/A EN COMUNICACIONES;004000000;CONSEJERÍA;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;28/11/2016;;23/06/2017
ALKIZA EIZAGUIRRE, MARIA EUGENIA;01/01/2014;31/12/2014;71.158,92 €;DIRECTOR/A DE COORDINACIÓN ASISTENCIAL ÁREA MÉDICA GR.3;060133000;ORGANIZACIÓN SANITARIA INTEGRADA BIDASOA;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;23/04/2013;;30/11/2015
ALKIZA EIZAGUIRRE, MARIA EUGENIA;01/01/2015;31/12/2015;71.158,92 €;DIRECTOR/A DE COORDINACIÓN ASISTENCIAL ÁREA MÉDICA GR.3;060133000;ORGANIZACIÓN SANITARIA INTEGRADA BIDASOA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;23/04/2013;;22/06/2016
ALKIZA EIZAGUIRRE, MARIA EUGENIA;01/01/2016;31/12/2016;72.206,26 €;DIRECTOR/A DE COORDINACIÓN ASISTENCIAL ÁREA MÉDICA GR.3;060133000;ORGANIZACIÓN SANITARIA INTEGRADA BIDASOA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;23/04/2013;;23/06/2017
ALKORTA IDIAKEZ, ITZIAR;01/01/2014;31/12/2014;82.624,77 €;VICECONSEJERO/A;006400000;VICECONSEJERÍA DE UNIVERSIDADES E INVESTIGACIÓN;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;27/12/2012;12/06/2015;30/11/2015
ALKORTA IDIAKEZ, ITZIAR;01/01/2015;12/06/2015;37.435,11 €;VICECONSEJERO/A;006400000;VICECONSEJERÍA DE UNIVERSIDADES E INVESTIGACIÓN;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;27/12/2012;12/06/2015;22/06/2016
ALONSO ALDAMA, FRANCISCO JAVIER;01/01/2014;31/12/2014;67.087,04 €;DIRECTOR/A;006410000;DIRECCIÓN DE UNIVERSIDADES;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/01/2013;;30/11/2015
ALONSO ALDAMA, FRANCISCO JAVIER;01/01/2015;31/12/2015;66.777,87 €;DIRECTOR/A;006410000;DIRECCIÓN DE UNIVERSIDADES;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/01/2013;;22/06/2016
ALONSO ALDAMA, FRANCISCO JAVIER;01/01/2016;31/12/2016;67.757,90 €;DIRECTOR/A;006410000;DIRECCIÓN DE UNIVERSIDADES;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/01/2013;27/01/2017;23/06/2017
ALONSO ARANA, MIREN MAITE;01/01/2014;31/12/2014;72.074,29 €;PRESIDENTE/A DEL CONSEJO ESCOLAR;006000000;CONSEJERÍA;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;10/09/2013;;30/11/2015
ALONSO ARANA, MIREN MAITE;01/01/2015;31/12/2015;73.086,04 €;PRESIDENTE/A DEL CONSEJO ESCOLAR;006000000;CONSEJERÍA;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;10/09/2013;;22/06/2016
ALONSO ARANA, MIREN MAITE;01/01/2016;30/12/2016;73.869,76 €;PRESIDENTE/A DEL CONSEJO ESCOLAR;006000000;CONSEJERÍA;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;10/09/2013;30/12/2016;23/06/2017
ALONSO ARANA, MIREN MAITE;31/12/2016;31/12/2016;0,00 €;VICECONSEJERO/A;007200000;VICECONSEJERÍA DE EDUCACIÓN;007;Departamento de Educación;07;07 - EDUCACIÓN;31/12/2016;;23/06/2017
ALONSO FERNÁNDEZ DE GARAYALDE, BELÉN;01/01/2014;31/12/2014;67.087,04 €;ASESOR/A NUEVAS TECNOLOGÍAS Y SOCIEDAD DE LA INFOR;003000000;CONSEJERÍA;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;19/04/2013;;30/11/2015
ALONSO FERNÁNDEZ DE GARAYALDE, BELÉN;01/01/2015;31/12/2015;67.087,02 €;ASESOR/A NUEVAS TECNOLOGÍAS Y SOCIEDAD DE LA INFOR;003000000;CONSEJERÍA;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;19/04/2013;;22/06/2016
ALONSO FERNÁNDEZ DE GARAYALDE, BELÉN;01/01/2016;31/12/2016;67.757,91 €;ASESOR/A NUEVAS TECNOLOGÍAS Y SOCIEDAD DE LA INFOR;003000000;CONSEJERÍA;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;19/04/2013;13/03/2017;23/06/2017
ALUSTIZA FERNANDEZ, ADOLFO;01/01/2014;31/12/2014;84.318,03 €;DIRECTOR/A GENERAL (NIVEL VICECONSEJERO);053100000;DIRECCIÓN GENERAL;053;LANBIDE, Servicio Vasco de Empleo;04;04 - EMPLEO Y POLÍTICAS SOCIALES;27/12/2012;;30/11/2015
ALUSTIZA FERNANDEZ, ADOLFO;01/01/2015;31/12/2015;84.357,80 €;DIRECTOR/A GENERAL (NIVEL VICECONSEJERO);053100000;DIRECCIÓN GENERAL;053;LANBIDE, Servicio Vasco de Empleo;04;04 - EMPLEO Y POLÍTICAS SOCIALES;27/12/2012;;22/06/2016
ALUSTIZA FERNANDEZ, ADOLFO;01/01/2016;31/12/2016;85.559,95 €;DIRECTOR/A GENERAL (NIVEL VICECONSEJERO);053100000;DIRECCIÓN GENERAL;053;LANBIDE, Servicio Vasco de Empleo;04;04 - EMPLEO Y POLÍTICAS SOCIALES;27/12/2012;20/01/2017;23/06/2017
ALVAREZ MARTINEZ, DAVID;13/10/2014;31/12/2014;14.972,94 €;ASESOR/A EN MATERIA JURÍDICA, SUBVENCIONES Y CONTRATACIÓN;005000000;CONSEJERÍA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;13/10/2014;;30/11/2015
ALVAREZ MARTINEZ, DAVID;01/01/2015;31/12/2015;68.849,24 €;ASESOR/A EN MATERIA JURÍDICA, SUBVENCIONES Y CONTRATACIÓN;005000000;CONSEJERÍA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;13/10/2014;;22/06/2016
ALVAREZ MARTINEZ, DAVID;01/01/2016;27/11/2016;60.080,04 €;ASESOR/A EN MATERIA JURÍDICA, SUBVENCIONES Y CONTRATACIÓN;005000000;CONSEJERÍA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;13/10/2014;27/11/2016;23/06/2017
ALVAREZ MARTINEZ, DAVID;28/11/2016;13/12/2016;6.564,19 €;ASESOR/A EN MATERIA JURÍDICA, SUBVENCIONES Y CONTRATACIÓN;005000000;CONSEJERÍA;005;Departamento de Hacienda y Economía;06;06 - HACIENDA Y ECONOMÍA;28/11/2016;13/12/2016;23/06/2017
ALVAREZ MARTINEZ, DAVID;14/12/2016;31/12/2016;3.394,16 €;DIRECTOR/A;006320000;DIRECCION DE PATRIMONIO Y CONTRATACIÓN;006;Departamento de Hacienda y Economía;06;06 - HACIENDA Y ECONOMÍA;14/12/2016;;23/06/2017
AMEZQUETA ALEGRIA, MARIA TERESA;07/09/2015;31/12/2015;23.016,90 €;DIRECTOR/A;003020000;DIRECCIÓN DE SERVICIOS;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;07/09/2015;;22/06/2016
AMEZQUETA ALEGRIA, MARIA TERESA;01/01/2016;31/12/2016;74.902,59 €;DIRECTOR/A;003020000;DIRECCIÓN DE SERVICIOS;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;07/09/2015;;23/06/2017
AMILIBIA BERGARETXE, LIDE;01/01/2014;31/12/2014;67.087,04;DIRECTOR/A;004210000;DIRECCIÓN DE SERVICIOS SOCIALES;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;11/01/2013;12/06/2015;30/11/2015
AMILIBIA BERGARETXE, LIDE;01/01/2015;12/06/2015;73.459,31 €;DIRECTOR/A;004210000;DIRECCIÓN DE SERVICIOS SOCIALES;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;11/01/2013;12/06/2015;22/06/2016
AMILIBIA BERGARETXE, LIDE;13/06/2015;31/12/2015;;VICECONSEJERO/A;004200000;VICECONSEJERÍA DE POLÍTICAS SOCIALES;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;13/06/2015;;22/06/2016
AMILIBIA BERGARETXE, LIDE;01/01/2016;31/12/2016;79.460,64 €;VICECONSEJERO/A;004200000;VICECONSEJERÍA DE POLÍTICAS SOCIALES;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;13/06/2015;;23/06/2017
ANDRADES GARCIA, JUAN EMILIO;14/12/2016;31/12/2016;3.283,70 €;DIRECTOR/A;009120000;DIRECCION DE COMERCIO;009;Departamento de Turismo, Comercio y Consumo;09;09 - TURISMO, COMERCIO Y CONSUMO;14/12/2016;;23/06/2017
ANITUA ALDEKOA, PEDRO;01/01/2014;31/12/2014;72.731,24 €;DIRECTOR/A;007210000;DIRECCIÓN ATENCION EMERGENCIAS Y METEOROLOGÍA;007;Departamento de Seguridad;07;07 - SEGURIDAD;10/12/2010;;30/11/2015
ANITUA ALDEKOA, PEDRO;01/01/2015;31/12/2015;73.210,34 €;DIRECTOR/A;007210000;DIRECCIÓN ATENCION EMERGENCIAS Y METEOROLOGÍA;007;Departamento de Seguridad;07;07 - SEGURIDAD;10/12/2010;;22/06/2016
