Registro de contratos del Sector Público de Euskadi del 2017																																																																																			
																																																																																			
Fecha de última actualización	15/02/2017																																																																																		
																																																																																			
																																																																																			
Estado contrato	Título de contrato	Tipo de contrato	Año del contrato	Contrato menor	Ámbito	Tipo de administración	Tipo de administración Local	Poder adjudicador	Entidad impulsora	Órgano contratante	Entidad Tramitadora	Mesa de contratación	Objeto del contrato	Código identificador del contrato	Lugar de ejecución	¿Lugar ejecución principal en la Unión Europea?	NUTS	Países	Código CPV	¿Contratación por lotes?	¿Contratación mixto?	¿Acuerdo marco?	¿Contrato complementario?	¿Publicidad?	Fecha publicación en el BOE	Fecha publicación en el BOPV	Fecha publicación en el boletín de territorio histórico	Fecha publicación en el DOUE	Fecha publicación en el perfil de contratante	Anuncios prensa	Tramitación	Procedimiento de adjudicación	Criterios de valoración	Importe de licitación sin IVA	Importe de licitación con IVA	IVA del importe de licitación	Importe de adjudicación sin IVA	Importe de adjudicación con IVA	IVA del importe de adjudicación	Plazo de ejecución	Plazo de ejecución (meses)	¿Carácter plurianual?	Anualidad	¿Revisión de precios establecidos?	Nº de licitadores presentados	Adjudicatario	Fecha de adjudicación	Fecha de formalización	Observación de la adjudicación/ formalización del contrato en castellano	Observación de la adjudicación/ formalización del contrato en euskera	Fórmulas de revisión de precios	Clasificación exigida	Aportaciones públicas a la construcción	Plazo de concesión (meses)	Modalidad de contratación	Duración	Modalidad importe	Valor modalidad	Tipo de contrato de suministro	Precios unitarios	País de origen de los productos adquiridos	Modalidad de determinación del precio	Indicación del supuesto de aplicación que amparó el uso del procedimiento	Número de invitaciones	¿Indicador de ingreso?	Modalidad que determina el importe del contrato	Modificación del objeto	Modificación del plazo	Modificación del adjudicatario	Concepto castellano	Concepto euskera	Fecha acuerdo	Importe	Resolución contrato	Finalización contrato	Porcentaje	Participantes	Objeto de recurso	Régimen general	Supuestos especiales	Indemnización	Importe	Continuidad del contrato
Ejecución	Contratación del Servicio de Mantenimiento Hardware de servidores. EXPEDIENTE PREPARADO EXCLUSIVAMENTE PARA LICITACIÓN ELECTRÓNICA.	Servicios	2014	No	CAPV	Otros		EJIE, S.A. - Sociedad Informática del Gobierno Vasco	EJIE-Sociedad Informática del Gobierno Vasco	Director /a General de EJIE-Sociedad Informática del Gobierno Vasco	EJIE-Sociedad Informática del Gobierno Vasco	Mesa de Contratación - EJIE - Sociedad Informática del Gobierno Vasco	Contratación del Servicio de Mantenimiento Hardware de servidores. EXPEDIENTE PREPARADO EXCLUSIVAMENTE PARA LICITACIÓN ELECTRÓNICA.	010/2014181_00000000000000000000001		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:50312000-5,Descripción:Mantenimiento y reparación de equipo informático,Principal:Si	Si	No	No	No	Si					06/03/2014		Ordinaria	Abierto	Oferta más ventajosa	920.000	1.113.200	21%(Tipo de IVA general)	870.263,72	1.053.019	1.380.000		24	No		No		Razón Social:HEWLETT-PACKARD ESPAÑOLA, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	20/05/2014	06/06/2014																	No		Importe:33.483,Incremento/Decremento de plazo:0,Tipo modificación:Prórroga,Descripción castellano:Lote 2  ,Descripción euskera:2. Lotea    Importe:190.856,Incremento/Decremento de plazo:11,Tipo modificación:Prórroga,Descripción castellano:Lote 1,Descripción euskera:1. Lotea  Importe:310.835,Incremento/Decremento de plazo:0,Tipo modificación:Prórroga,Descripción castellano:Lote 3,Descripción euskera:3. Lotea																No
Ejecución	004.HT.2016: Suministro, integración y puesta en marcha de sistemas híbridos de alimentación ininterrumpida para el Centro de Telecomunicaciones de Hirumugeta	Suministros	2016	No	CAPV	Otros		ITELAZPI, S.A.	ITELAZPI, S.A.	Director/a - ITELAZPI, S.A.	ITELAZPI, S.A.	Mesa de Contratación - ITELAZPI, S.A.	Suministro, integración y puesta en marcha de sistemas híbridos de alimentación ininterrumpida	004.HT.2016200_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:31156000-4,Descripción:Suministros interrumpibles de energía,Principal:Si	No	No	No	No	Si					04/05/2016		Ordinaria	Abierto	Oferta más ventajosa	150.000	181.500	21%(Tipo de IVA general)	144.324,88	174.633	180.000		3	No		No	5	Razón Social:GRUPO COMUNICACIONES Y SONIDO, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	05/10/2016	10/10/2016											Entrega sucesiva y por precio unitario						No	Precios Unitarios	Importe:0,Incremento/Decremento de plazo:12,Tipo modificación:Prórroga,Fecha resolución:15/12/2016,Fecha final:31/12/2017,Ref. num expediente:004.HT.2016. Prórroga 2017,Descripción castellano:Prórroga del contrato. Duración: 01/01/2017-31/12/2017.,Descripción euskera:Kontratuaren luzapena. Iraupena: 2017/01/01-2017/12/31.																No
Ejecución	Formación de evaluadores para la evaluación del contrato programa	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Salud	Dirección de Régimen Jurídico, Económico y Servicios Generales	Salud	Mesa de Contratación - Salud	Formación de evaluadores para la evaluación del contrato programa	106/2017-CM580_00000000000000000000001		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:79632000-3,Descripción:Servicios de formación de personal,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	7.350	8.894	21%(Tipo de IVA general)	7.350	8.894			9	No		No	1	Razón Social:FUNDACIÓN VASCA PARA EL FOMENTO DE LA CALIDAD,Nacionalidad:España,Provincia:Bizkaia,UTE:No	09/01/2017	09/01/2017																	No																		No
Ejecución	Evaluaciones de Riesgos Laborales	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Educación	Viceconsejería de Administración y Servicios	Educación	Mesa de Contratación - Educación	Evaluaciones de Riesgos Laborales	PREVENCION 2017/1579_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:90711100-5,Descripción:Evaluación de riesgos o peligros que no sea para la construcción,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	17.500	21.175		17.500	21.175			12	No		No	1	Razón Social:SGS TECNOS, S.A.,Nacionalidad:España,Provincia:Madrid,UTE:No	11/01/2017	11/01/2017																	No																		No
Ejecución	Mantenimiento anual programa informático Medtra	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Educación	Viceconsejería de Administración y Servicios	Educación	Mesa de Contratación - Educación	Mantenimiento anual programa informático Medtra	PREVENCION 2017/2579_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:72500000-0,Descripción:Servicios informáticos,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	1.495	1.809		1.495	1.809			12	No		No	1	Razón Social:MEDTRA S.L. ,Nacionalidad:España,Provincia:Cantabria,UTE:No	11/01/2017	11/01/2017																	No																		No
Ejecución	Contratación del servicio de limpieza de la sede del IVAP en Bilbao.	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Instituto Vasco de Administración Pública	Director/a del Instituto Vasco de Administración Pública-IVAP	Instituto Vasco de Administración Pública	Mesa de Contratación - Instituto Vasco de Administración Pública	Contratación del servicio de limpieza de la sede del IVAP en Bilbao.	A-025-DAPJ-2016588_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:90911000-6,Descripción:Servicios de limpieza de viviendas, edificios y ventanas,Principal:Si	No	No	No	No	Si					31/10/2016		Ordinaria	Abierto	Precio más ventajoso	82.314,05	99.600	21%(Tipo de IVA general)	71.366	86.353	164.628,10		34	No		No	4	Razón Social:LIMPIEZA Y MANTENIMIENTO IMPACTO, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	05/01/2017	11/01/2017																	No																		No
Ejecución	Contratación del servicio de seguridad de la sede del IVAP en Bilbao.	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Instituto Vasco de Administración Pública	Director/a del Instituto Vasco de Administración Pública-IVAP	Instituto Vasco de Administración Pública	Mesa de Contratación - Instituto Vasco de Administración Pública	Contratación del servicio de seguridad de la sede del IVAP en Bilbao.	A-023-DAPJ-2016588_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:79710000-4,Descripción:Servicios de seguridad,Principal:Si	No	No	No	No	Si					31/10/2016		Ordinaria	Abierto	Precio más ventajoso	24.793,39	30.000	21%(Tipo de IVA general)	24.793,39	30.000	49.586,78		34	No		No	4	Razón Social:PROTECCIÓN Y SEGURIDAD TÉCNICA S.A.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	09/01/2017	10/01/2017																	No																		No
Ejecución	Trabajos de Community Management en las redes sociales de Emakunde	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Emakunde-Instituto Vasco de la Mujer	Dirección de EMAKUNDE	Emakunde-Instituto Vasco de la Mujer	Mesa de Contratación - EMAKUNDE - Instituto vasco de la mujer	Trabajos de Community Management en las redes sociales de Emakunde	CM 03/2017586_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:72000000-5,Descripción:Servicios TI: consultoría, desarrollo de software, Internet y apoyo,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	17.400	21.054	21%(Tipo de IVA general)	17.400	21.054			12	No		No	1	Razón Social:Think On Marketing S.COOP.PEQUEÑA,Nacionalidad:España,Provincia:Bizkaia,UTE:No	11/01/2017	11/01/2017																	No																		No
Ejecución	Cursos de manejo de extintores y conocimiento del fuego	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Educación	Viceconsejería de Administración y Servicios	Educación	Mesa de Contratación - Educación	Cursos de manejo de extintores y conocimiento del fuego	PREVENCION 2017/3579_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:80510000-2,Descripción:Servicios de formación especializada,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	17.970,60	17.971		17.970,60	17.971			12	No		No	1	Razón Social:JOYFESA,Nacionalidad:España,Provincia:Bizkaia,UTE:No	12/01/2017	12/01/2017																	No																		No
Ejecución	Verificación metrologica anual aparataje	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Educación	Viceconsejería de Administración y Servicios	Educación	Mesa de Contratación - Educación	Verificación metrologica anual aparataje	PREVENCION 2017/4579_00000000000000000000001		Si	Código:ES511,Descripción:Barcelona,Principal: Si		Código:50410000-2,Descripción:Servicios de reparación y mantenimiento de aparatos de medida, pruebas y verificación,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	815	986		815	986			12	No		No	1	Razón Social:TRADELAB S.L.,Nacionalidad:España,Provincia:Rioja (La),UTE:No	12/01/2017	12/01/2017																	No																		No
Ejecución	Canones licencias informáticas software SAS. Año 2017	Privados	2017	No	CAPV	CCAA		Gobierno Vasco	Medio Ambiente, Planificación Territorial y Vivienda	Dirección de Servicios	Medio Ambiente, Planificación Territorial y Vivienda	Mesa de Contratación - Medio Ambiente, Planificación Territorial y Vivienda	Canones licencias informáticas software SAS. Año 2017	009P/2017577_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:48218000-9,Descripción:Paquetes de software de gestión de licencias,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	5.644,40	6.830	21%(Tipo de IVA general)	5.644,40	6.830			12	No		No	1	Razón Social:SAS INSTITUTE, S.A.,Nacionalidad:España,Provincia:Madrid,UTE:No	02/01/2017	02/01/2017																	No																		No
Ejecución	Suministro de 14 placas cerámicas para clasificación de arbolado, setos y arbustos del Palacio de Ajuria-Enea	Suministros	2017	No	CAPV	CCAA		Gobierno Vasco	Presidencia del Gobierno - Lehendakaritza	Secretaría General de la Presidencia	Presidencia del Gobierno - Lehendakaritza	Mesa de Contratación - Presidencia	Suministro de 14 placas cerámicas para clasificación de arbolado, setos y arbustos del Palacio de Ajuria-Enea	CM/DS/015/2017573_00000000000000000000001		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:30132000-3,Descripción:Equipo para clasificación,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	476	476	Exento	476	476				No		No	1	Razón Social:FRANCISCO BORJA TORRES BLANCO,Nacionalidad:España,Provincia:Araba/Álava,UTE:No	09/01/2017	09/01/2017																	No																		No
